,Marca,Modelo,Version,TipoVehiculo,Combustible,Potencia,Transmisión,Cabina,Traccion,Potencia.1,Consumo,Seguridad,C,P,S,C-Potencia,C-Consumo,C-Seguridad,Puntuacion
0,Volkswagen,Polo,1.6 MSi Trendline Tiptronic (110cv) (L18) 5Ptas.,Sedan 5P,Nafta,110,Automática,,4x2,MEDIO,MEDIO,ALTO,2,2,3,1,1,2,12
1,Volkswagen,Polo,1.6 MSi Comfortline MT (110cv) (L18) 5Ptas.,Sedan 5P,Nafta,110,Manual,,4x2,MEDIO,MEDIO,ALTO,2,2,3,1,1,2,12
2,Volkswagen,Amarok,2.0 TDI (180cv) 4x2 C/Doble Comfortline (L17),Camioneta,Diesel,180,Automática,Doble,4x2,ALTO,ALTO,MEDIO,3,3,2,2,2,1,7
3,Volkswagen,Amarok,2.0 TDI (180cv) 4x4 C/Doble Comfortline (L17),Camioneta,Diesel,180,Automática,Doble,4x4,ALTO,ALTO,MEDIO,3,3,2,2,2,1,7
4,Volkswagen,Taos,Comfortline 250TSI Tiptronic (150cv),SUV,Nafta,150,Automática,,4x2,ALTO,ALTO,ALTO,3,3,3,2,2,2,12
5,Ford,ECOSPORT,1.5 Se 123cv 4x2 Manual,SUV,Nafta,123,Manual,,4x2,MEDIO,MEDIO,ALTO,2,2,3,1,1,2,12
6,Ford,Ranger,2.2 TDCi C/Doble 4x2 XL 6MT (125cv) (L20),Camioneta,Diesel,125,Manual,Doble,4x2,MEDIO,MEDIO,MEDIO,2,2,2,1,1,1,7
7,Ford,Ranger,2.2 TDCi C/Simple 4x2 XL 6MT (125cv) (L20),Camioneta,Diesel,125,Manual,Simple,4x2,MEDIO,MEDIO,MEDIO,2,2,2,1,1,1,7
8,Fiat,Mobi,1.0 Like (75cv),Sedan 5P,Nafta,75,Manual,,4x2,BAJO,BAJO,BAJO,1,1,1,0,0,0,2
9,Fiat,Cronos,1.3 GSE CVT Presicion (99cv),Sedan 5P,Nafta,99,Automática,,4x2,BAJO,BAJO,BAJO,1,1,1,0,0,0,2
10,Fiat,Pulse,1.0T Impetus CVT (130cv),Sedan 5P,Nafta,130,Automática,,4x2,MEDIO,MEDIO,BAJO,2,2,1,1,1,0,2
11,Fiat,Toro,1.8 Freedom 4x2 AT6 Cab/Doble (130cv) (L21),Camioneta,Nafta,130,Automática,,4x2,MEDIO,MEDIO,BAJO,2,2,1,1,1,0,2
12,Toyota,Corolla Cross,2.0 XEI CVT,SUV,Nafta,170,Automática,,4x4,ALTO,ALTO,ALTO,3,3,3,2,2,2,12
13,Toyota,Corolla Cross,HEV 1.8 SEG eCVT,SUV,Híbrido,132,Automática,,4x2,MEDIO,BAJO,ALTO,2,1,3,1,0,2,14
14,Toyota,Corolla,2.0 SEG CVT (170cv) (L20),Sedan 5P,Nafta,170,Automática,,4x2,ALTO,ALTO,ALTO,3,3,3,2,2,2,12
15,Toyota,Etios,1.5 X 6MT (105cv) (L18) 4Ptas.,Sedan 5P,Nafta,105,Manual,,4x2,MEDIO,MEDIO,MEDIO,2,2,2,1,1,1,7
16,Toyota,Hilux,4x2 CD DX 2.4 TDI 6MT (150cv) (L20),Camioneta,Diesel,150,Manual,Doble,4x2,ALTO,ALTO,ALTO,3,3,3,2,2,2,12
17,Toyota,Hilux,4x4 CD DX 2.4 TDI 6MT (150cv) (L20),Camioneta,Diesel,150,Manual,Doble,4x4,ALTO,ALTO,ALTO,3,3,3,2,2,2,12
18,Renault,Sandero,2.3T Iconic AT 4x4 (190cv),Camioneta,Diesel,190,Automática,Doble,4x4,ALTO,ALTO,ALTO,3,3,3,2,2,2,12
19,Renault,Captur,1.6 16v CVT Intens 1 tono (115cv),SUV,Nafta,115,Automática,,4x2,MEDIO,MEDIO,MEDIO,2,2,2,1,1,1,7
20,Renault,KANGOO II,KANGOO EX. 1.5 DCI CONFORT 5 AS L/18,Utilitario,Nafta,150,Manual,,4x2,ALTO,BAJO,MEDIO,3,1,2,2,0,1,11
21,Renault,ALASKAN,ALASKAN 2.3 TDI CONFORT 4X2,Camioneta,Diesel,160,Manual,,4x2,ALTO,ALTO,ALTO,3,3,3,2,2,2,12
22,Renault,ALASKAN,ALASKAN 2.3 TDI ICONIC 4X4 AT,Camioneta,Diesel,160,Automática,,4x4,ALTO,ALTO,ALTO,3,3,3,2,2,2,12
